title,year,poster,season,part,type
ochou fujin no gensou,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/104425-ZNuv9cByOohQ.jpg,,,Anime
kintarou taiiku nikki,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/7501.jpg,,,Anime
ari chan,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/102526-J4wjPly7LOgj.jpg,,,Anime
namake gitsune,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/104354-Leu3a8gd5STv.jpg,,,Anime
doubutsu tonarigumi,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b104418-j99nK2mt8JWo.jpg,,,Anime
tie shan gongzhu,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/9521.jpg,,,Anime
kangaroo no tanjoubi,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/6843.jpg,,,Anime
osaru no sankichi boukuusen,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b6844-Dd9cnhOqwg8h.jpg,,,Anime
doubutsu mura no daisodou,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/6848.jpg,,,Anime
kyouryoku boukuusen,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/104360-yURPo0vwNYTn.jpg,,,Anime
fuku chan no kishuu,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx140635-GwZXcNIxFvM6.png,,,Anime
momotarou no umiwashi,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/6857.jpg,,,Anime
kumo to tulip,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/3990.jpg,,,Anime
malay oki kaisen,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx139282-b83SV8iynZYq.jpg,,,Anime
fuku chan no sensuikan,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b140019-Md4DCV46iqUA.png,,,Anime
musume doujouji,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b179804-Fg2YjkEdpFgM.png,,,Anime
momotarou umi no shinpei,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b2765-mFlSYnsfVtzR.jpg,,,Anime
mahou no pen,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b7524-p3dPznT2JHJD.jpg,,,Anime
sakura haru no gensou,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/15455.jpg,,,Anime
kumo no ito,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx109364-0kyzNqjBXnmg.jpg,,,Anime
yuki no yoru no yume,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/104424-c4ZYpba9WE9O.jpg,,,Anime
suteneko tora chan,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b5662-GvO96VG3zeaO.jpg,,,Anime
muku no ki no hanashi,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/nx103729-iIc788jWlgDf.jpg,,,Anime
kuma ni kuwarenu otoko,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/6846.jpg,,,Anime
kitsune to circus,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/102091-AeeC0vAWcTWm.jpg,,,Anime
tora chan to hanayome,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/12603.jpg,,,Anime
poppoya san nonki ekichou,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/default.jpg,,,Anime
poppoya san nonki kikanshi,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/default.jpg,,,Anime
kitsune no home run ou,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/nx104421-zyQ6xvqhKlYh.jpg,,,Anime
ousama no shippo,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/7526.jpg,,,Anime
doubutsu dai yakyuu sen,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b169524-2QrEHghitlUP.jpg,,,Anime
gulliver funtouki,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/6847.jpg,,,Anime
tora chan no kankan mushi,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/10743.jpg,,,Anime
xiexie xiaohua mao,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx138727-3tFPlrHFvDLM.png,,,Anime
kobito to aomushi,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b170156-7n4g6Lu2FD64.jpg,,,Anime
seisho gensoufu adam to eve,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b143306-ItuzpUeAilRB.png,,,Anime
xiao tie zhu,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx175647-lvZpC9pxwWQO.png,,,Anime
ponsuke no udekurabe,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/default.jpg,,,Anime
dangobei torimonochou hirakee goma no maki,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx109363-kWHcbX3YJqF9.jpg,,,Anime
kujira 19Season 2,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx7528-PvotBkdYqQJE.jpg,,,Anime
cai mogu,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b113264-gRHT8VLt3j0S.jpg,,,Anime
mori no ongakukai,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/7529.jpg,,,Anime
cinterrier jou no hanamuko,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/104417-t2F1NPXl1gRB.jpg,,,Anime
